TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,53,20:00,7.96,3.38,34.93,45.5,212.74,1.0,1.0,1.0,-0.23,886.17
1,53,20:10,8.97,-1.94,34.9,45.54,207.82,1.0,1.0,1.0,-0.21,1071.01
1,53,20:20,8.98,5.65,34.85,45.58,220.33,1.0,1.0,1.0,-0.2,1143.0
1,53,20:30,8.12,1.19,34.52,45.49,251.2,1.0,1.0,1.0,-0.2,931.46
1,53,20:40,5.89,-1.71,34.24,45.46,249.54,0.99,0.99,0.99,-0.24,441.2
1,53,20:50,6.4,0.87,34.1,45.66,247.13,1.0,1.0,1.0,-0.21,535.02
1,53,21:00,5.88,0.33,33.85,45.45,251.39,0.99,0.99,0.99,-0.22,449.96
1,53,21:10,3.55,-2.88,33.61,44.93,257.12,0.99,0.99,0.99,-0.21,145.58
1,53,21:20,3.44,-4.84,33.39,44.76,255.69,0.99,0.99,0.99,-0.25,130.44
1,53,21:30,2.76,-4.28,33.24,44.63,241.13,0.99,0.99,0.99,-0.25,80.81
1,53,21:40,4.58,0.26,33.17,44.45,229.19,0.99,0.99,0.99,-0.27,258.72
1,53,21:50,5.44,2.71,33.09,44.08,227.26,0.99,0.99,0.99,-0.26,388.58
1,53,22:00,4.45,-0.85,33.04,43.38,227.26,0.99,0.99,0.99,-0.24,249.68
1,53,22:10,5.94,-1.91,32.99,43.2,224.0,0.99,0.99,0.99,-0.3,483.9
1,53,22:20,6.23,-0.87,33.05,43.33,226.51,1.0,1.0,1.0,-0.26,545.39
1,53,22:30,7.05,3.36,32.99,43.17,240.99,1.0,1.0,1.0,-0.21,696.45
1,53,22:40,4.71,-3.27,32.9,42.77,244.22,0.99,0.99,0.99,-0.24,259.29
1,53,22:50,4.64,-1.98,32.79,42.57,230.66,0.99,0.99,0.99,-0.22,250.7
1,53,23:00,5.15,-0.49,32.74,42.51,214.31,0.99,0.99,0.99,-0.25,336.55
1,53,23:10,5.55,4.66,32.48,42.51,217.97,0.99,0.99,0.99,-0.26,402.58
1,53,23:20,6.67,4.77,32.21,42.18,260.75,1.0,1.0,1.0,-0.29,644.09
1,53,23:30,7.65,-1.76,31.84,41.86,283.44,1.0,1.0,1.0,-0.21,832.41
1,53,23:40,7.87,0.22,31.54,41.56,279.29,1.0,1.0,1.0,-0.23,908.53
1,53,23:50,7.77,1.61,31.24,41.42,283.54,1.0,1.0,1.0,-0.23,870.79
1,54,00:00,8.62,-0.91,31.01,41.23,286.79,1.0,1.0,1.0,-0.2,1047.07
1,54,00:10,8.28,-1.48,30.97,41.23,289.82,1.0,1.0,1.0,-0.27,979.5
1,54,00:20,7.92,1.68,30.77,41.29,289.82,1.0,1.0,1.0,-0.25,872.94
1,54,00:30,7.36,1.36,30.5,41.29,289.82,1.0,1.0,1.0,-0.25,747.31
1,54,00:40,7.67,2.94,30.34,41.29,289.82,1.0,1.0,1.0,-0.28,846.99
1,54,00:50,7.75,2.46,30.27,41.18,294.19,1.0,1.0,1.0,-0.27,862.8
1,54,01:00,5.36,1.09,30.11,40.94,299.34,0.99,0.99,0.99,-0.22,408.81
1,54,01:10,5.06,-0.68,29.99,40.74,297.45,0.99,0.99,0.99,-0.26,331.76
1,54,01:20,4.7,-0.81,29.86,40.48,297.44,0.99,0.99,0.99,-0.26,294.26
1,54,01:30,4.11,2.05,29.87,40.33,299.88,0.99,0.99,0.99,-0.27,219.42
1,54,01:40,4.05,3.64,29.83,40.16,301.69,0.99,0.99,0.99,-0.24,207.27
1,54,01:50,5.0,3.72,29.71,39.89,307.37,0.99,0.99,0.99,-0.23,281.85
1,54,02:00,4.41,-0.21,29.62,39.44,314.48,0.99,0.99,0.99,-0.23,204.61
1,54,02:10,3.9,-0.07,29.54,39.17,314.48,0.99,0.99,0.99,-0.22,160.01
1,54,02:20,2.61,-0.21,29.38,38.99,307.31,0.99,0.99,0.99,-0.2,85.43
1,54,02:30,1.6,4.33,29.29,39.12,307.05,0.99,0.99,0.99,-0.22,18.1
1,54,02:40,1.59,11.37,29.13,39.23,345.21,1.01,1.01,1.01,-0.06,2.89
1,54,06:50,3.96,-28.57,26.89,38.15,347.37,1.53,1.53,1.53,-0.08,70.85
1,54,07:00,5.47,-2.5,26.78,37.06,323.94,0.99,0.99,0.99,-0.24,418.58
1,54,07:10,4.84,-1.98,26.31,35.66,319.11,0.99,0.99,0.99,-0.23,299.65
1,54,07:20,4.19,-0.25,26.49,35.02,317.23,0.99,0.99,0.99,-0.25,199.59
1,54,07:30,4.75,-1.65,26.75,34.91,317.23,0.99,0.99,0.99,-0.24,258.07
1,54,07:40,4.4,2.11,27.08,34.99,317.23,0.99,0.99,0.99,-0.26,222.82
1,54,07:50,4.78,2.67,27.38,34.99,321.4,0.99,0.99,0.99,-0.24,228.5
1,54,08:00,4.48,3.56,27.54,34.99,326.01,0.99,0.99,0.99,-0.23,191.99
1,54,08:10,3.12,2.49,27.76,35.15,338.43,0.99,0.99,0.99,-0.27,89.94
1,54,08:20,2.46,3.43,27.94,35.49,343.06,0.99,0.99,0.99,-0.22,51.09
1,54,08:30,2.1,7.34,28.0,35.83,358.68,0.99,0.99,0.99,-0.28,41.43
1,54,08:40,1.65,5.82,28.03,36.1,368.19,0.99,0.99,0.99,-0.26,20.04
1,54,11:00,4.22,2.0,33.79,41.73,206.14,1.0,1.0,1.0,0.16,229.28
1,54,11:10,8.13,0.85,33.6,40.74,206.16,1.0,1.0,1.0,-0.3,921.83
1,54,11:20,8.5,-1.11,33.34,40.49,204.04,1.0,1.0,1.0,-0.22,1043.77
1,54,11:30,8.37,0.13,33.53,40.86,203.97,1.0,1.0,1.0,-0.23,991.28
1,54,11:40,8.29,-1.78,33.7,41.46,205.57,1.0,1.0,1.0,-0.26,964.74
1,54,11:50,9.15,3.44,33.95,41.95,193.55,1.01,1.01,1.01,-0.22,1118.31
1,54,12:00,8.85,-0.17,34.21,42.32,196.96,1.01,1.01,1.01,-0.25,1055.79
1,54,12:10,10.62,-0.2,34.57,42.81,204.46,1.03,1.03,1.03,-0.2,1355.39
1,54,12:20,12.97,-2.2,34.91,43.13,212.69,1.08,1.08,1.08,-0.25,1521.99
1,54,12:30,12.33,-0.8,35.15,43.4,206.41,1.06,1.06,1.06,-0.24,1451.1
1,54,12:40,13.58,0.84,35.36,43.72,209.49,1.09,1.09,1.09,-0.25,1534.71
1,54,12:50,12.25,0.94,35.64,44.1,212.41,1.06,1.06,1.06,-0.2,1472.86
1,54,13:00,11.29,-2.08,35.75,44.64,206.39,1.04,1.04,1.04,-0.22,1404.78
1,54,13:10,12.0,0.17,35.94,45.17,198.17,1.06,1.06,1.06,-0.23,1477.79
1,54,13:20,12.26,1.4,36.27,45.58,205.9,1.06,1.06,1.06,-0.19,1407.09
1,54,13:30,12.34,0.95,36.37,45.73,213.04,1.06,1.06,1.06,-0.21,1392.64
1,54,13:40,12.38,0.18,36.43,45.86,204.55,1.06,1.06,1.06,-0.26,1461.12
1,54,13:50,11.02,4.93,36.76,46.26,209.37,1.04,1.04,1.04,-0.15,1357.57
1,54,14:00,12.63,-1.57,36.81,46.62,217.02,1.08,1.08,1.08,-0.31,1391.73
1,54,14:10,12.3,-1.47,36.86,46.67,209.7,1.06,1.06,1.06,-0.27,1429.17
1,54,14:20,12.57,4.13,37.1,46.95,205.04,1.07,1.07,1.07,-0.2,1453.24
1,54,14:30,11.19,0.15,37.16,47.13,225.46,1.03,1.03,1.03,-0.29,1415.19
1,54,14:40,12.06,-0.6,37.26,47.48,204.17,1.05,1.05,1.05,-0.19,1474.88
1,54,14:50,10.86,0.22,37.4,47.71,216.93,1.03,1.03,1.03,-0.22,1366.6
1,54,15:00,11.25,2.99,37.5,48.01,203.03,1.04,1.04,1.04,-0.24,1435.94
1,54,15:10,11.58,-2.97,37.51,48.06,221.54,1.04,1.04,1.04,-0.22,1421.44
1,54,15:20,14.11,1.49,37.56,48.06,198.56,1.1,1.1,1.1,-0.19,1533.8
1,54,15:30,14.01,1.88,37.54,47.64,212.06,1.09,1.09,1.09,-0.18,1531.51
1,54,15:40,13.02,-3.27,37.7,47.63,216.22,1.08,1.08,1.08,-0.23,1482.43
1,54,15:50,12.66,-0.17,37.7,48.01,203.28,1.07,1.07,1.07,-0.23,1466.5
1,54,16:00,12.23,3.36,37.88,48.2,210.99,1.06,1.06,1.06,-0.21,1400.5
1,54,16:10,11.37,-2.84,37.91,48.35,233.61,1.04,1.04,1.04,-0.18,1407.36
1,54,16:20,11.94,-2.04,37.95,48.67,228.98,1.05,1.05,1.05,-0.31,1377.92
1,54,16:30,10.35,1.54,37.96,48.84,232.67,1.03,1.03,1.03,-0.23,1251.96
1,54,16:40,11.35,2.22,37.91,49.15,236.75,1.05,1.05,1.05,-0.22,1362.8
1,54,16:50,12.23,-1.51,37.96,49.06,238.14,1.06,1.06,1.06,-0.2,1442.51
1,54,17:00,12.16,0.8,38.03,48.98,231.76,1.05,1.05,1.05,-0.24,1479.43
1,54,17:10,9.55,2.62,38.0,48.94,231.05,1.01,1.01,1.01,-0.21,1128.23
1,54,17:20,10.61,-3.52,37.99,49.19,241.01,1.02,1.02,1.02,-0.24,1364.64
1,54,17:30,10.93,1.19,38.01,49.21,216.73,1.03,1.03,1.03,-0.19,1378.38
1,54,17:40,10.86,0.18,38.01,49.36,225.79,1.03,1.03,1.03,-0.24,1363.27
1,54,17:50,12.04,0.45,37.96,49.32,230.88,1.06,1.06,1.06,-0.23,1369.7
1,54,18:00,10.13,-0.33,37.89,49.07,230.67,1.02,1.02,1.02,-0.28,1262.33
1,54,18:10,13.02,-0.75,38.01,49.2,231.78,1.08,1.08,1.08,-0.25,1516.4
1,54,18:20,13.78,2.58,37.95,49.0,231.93,1.09,1.09,1.09,-0.23,1517.65
1,54,18:30,11.29,1.74,37.92,48.8,233.14,1.04,1.04,1.04,-0.27,1415.02
